Accident_ID,Date_Time,Location,Weather_Condition,Road_Condition,Vehicle_Type,Accident_Severity,Number_of_Vehicles,Casualties,Traffic_Density
6a36beca,2024-01-11 12:00:00,Downtown,Rain,Icy,Motorcycle,Severe,2,6,Moderate
41cd1932,2024-01-11 13:00:00,Highway,Clear,Dry,Bicycle,Moderate,1,7,Low
89c0b3f8,2024-01-11 14:00:00,Suburbs,Snow,Icy,Bicycle,Moderate,2,5,Moderate
9a79a2b3,2024-01-11 15:00:00,Industrial Area,Storm,Under Construction,Bus,Moderate,3,5,High
c2cea186,2024-01-11 16:00:00,Downtown,Clear,Icy,Bus,Fatal,4,6,High
a127861e,2024-01-11 17:00:00,Industrial Area,Storm,Wet,Truck,Minor,3,7,Moderate
b56bffd8,2024-01-11 18:00:00,Residential Zone,Storm,Wet,Bicycle,Severe,1,1,Low
8ba52746,2024-01-11 19:00:00,Suburbs,Rain,Under Construction,Bus,Fatal,2,7,High
b041a55e,2024-01-11 20:00:00,Industrial Area,Rain,Icy,Bicycle,Minor,2,3,Low
8213befd,2024-01-11 21:00:00,Industrial Area,Snow,Icy,Bus,Moderate,3,5,Low
135c540c,2024-01-11 22:00:00,Residential Zone,Rain,Wet,Bus,Moderate,3,0,Low
f7bf8820,2024-01-11 23:00:00,Industrial Area,Fog,Icy,Car,Fatal,2,1,Moderate
6801e0e1,2024-01-12 00:00:00,Suburbs,Storm,Wet,Bicycle,Moderate,3,5,High
4630c0fe,2024-01-12 01:00:00,Residential Zone,Rain,Under Construction,Motorcycle,Moderate,3,8,Moderate
0d747dd1,2024-01-12 02:00:00,Highway,Fog,Wet,Bus,Minor,3,4,High
ff440b36,2024-01-12 03:00:00,Highway,Clear,Under Construction,Motorcycle,Moderate,1,0,Moderate
41f600f4,2024-01-12 04:00:00,Suburbs,Storm,Icy,Car,Moderate,2,6,Moderate
7d049a84,2024-01-12 05:00:00,Industrial Area,Fog,Under Construction,Motorcycle,Severe,4,0,Low
a36f30d7,2024-01-12 06:00:00,Industrial Area,Rain,Dry,Bus,Fatal,4,7,High
8bd71ed6,2024-01-12 07:00:00,Highway,Fog,Wet,Bicycle,Moderate,1,5,Low
b6a15b9a,2024-01-12 08:00:00,Suburbs,Storm,Under Construction,Truck,Moderate,2,7,High
86980220,2024-01-12 09:00:00,Suburbs,Rain,Under Construction,Car,Moderate,1,3,Low
816bb923,2024-01-12 10:00:00,Residential Zone,Fog,Dry,Motorcycle,Severe,4,1,High
