Sale_ID,Product_ID,Store_ID,Sale_Date,Quantity_Sold,Revenue
43044040,P002,S104,2024-03-29,135,5228
1367a210,P001,S101,2024-03-30,412,18584
c136752e,P003,S104,2024-03-31,60,18013
4ce5762d,P002,S104,2024-04-01,193,31359
63d03da2,P002,S103,2024-04-02,325,45027
41037b95,P002,S101,2024-04-03,431,36208
5f2f18fd,P002,S104,2024-04-04,56,3722
82d36d2e,P001,S103,2024-04-05,429,34143
bf344e17,P002,S101,2024-04-06,166,32430
74f9eda7,P003,S103,2024-04-07,25,6118
db791d79,P001,S101,2024-04-08,175,6269
ecccda36,P004,S101,2024-04-09,278,31547
e2fdd554,P004,S101,2024-04-10,189,27555
f4ad5b0b,P005,S104,2024-04-11,65,21575
033f9c87,P005,S103,2024-04-12,425,11790
41ebe5c4,P005,S104,2024-04-13,410,29731
408b8030,P001,S101,2024-04-14,238,49298
ad45cfe3,P001,S103,2024-04-15,271,47453
8c940a33,P004,S102,2024-04-16,329,11218
5f66182d,P003,S104,2024-04-17,332,10283
8eefcbcc,P005,S102,2024-04-18,96,1594
00165c7a,P004,S102,2024-04-19,233,47809
2590e640,P002,S102,2024-04-20,406,35652
6904520a,P002,S101,2024-04-21,429,1661
89e6e4e6,P005,S104,2024-04-22,66,38182
4ca44d29,P003,S103,2024-04-23,164,48231
3467bcc9,P001,S103,2024-04-24,358,12856
d18eee1b,P004,S101,2024-04-25,315,34598
399e1802,P001,S104,2024-04-26,466,3668
b6da3f09,P002,S101,2024-04-27,497,1920
2ce8077b,P003,S104,2024-04-28,342,44339
ab440b58,P001,S104,2024-04-29,302,33744
7e404248,P004,S101,2024-04-30,378,30669
036b46b6,P004,S104,2024-05-01,237,39279
658ca1b5,P003,S102,2024-05-02,378,16130
131c0176,P001,S104,2024-05-03,384,9137
6cab41ee,P001,S103,2024-05-04,43,25332
5eb27e05,P003,S103,2024-05-05,82,47814
c3cd1b3e,P002,S102,2024-05-06,139,16789
dc574da0,P002,S104,2024-05-07,209,33897
1a5d1bcd,P003,S104,2024-05-08,101,34118
8c6fe63c,P002,S101,2024-05-09,351,15586
83a09a6d,P005,S103,2024-05-10,435,37939
a3a61ead,P004,S102,2024-05-11,217,4758
9e4f790d,P002,S103,2024-05-12,65,18839
2bd93de9,P003,S102,2024-05-13,259,21217
f9752521,P004,S101,2024-05-14,476,21788
73f6a24c,P004,S103,2024-05-15,446,11204
a3bfe25c,P002,S104,2024-05-16,275,48129
4d10eb6b,P003,S101,2024-05-17,289,34736
3d5cd422,P001,S102,2024-05-18,353,20499
70520422,P005,S101,2024-05-19,59,27921
e628e3a4,P002,S102,2024-05-20,162,35295
cc05a5ff,P005,S103,2024-05-21,346,38134
9e9575c6,P004,S101,2024-05-22,62,2774
3907128f,P004,S103,2024-05-23,333,38009
30da62a8,P001,S104,2024-05-24,187,18993
ae59a5b0,P002,S104,2024-05-25,306,29607
7b88823f,P003,S101,2024-05-26,355,3526
63ae2b47,P004,S104,2024-05-27,162,31074
28afb5a8,P001,S101,2024-05-28,299,46546
ec5ff7c9,P003,S103,2024-05-29,413,8346
03c6f7f7,P005,S102,2024-05-30,469,39107
9b0f42ad,P005,S103,2024-05-31,385,17267
5b97f940,P004,S102,2024-06-01,189,4766
0f05bda0,P003,S101,2024-06-02,483,40877
e3d28891,P004,S104,2024-06-03,359,36878
8dfb03bb,P003,S101,2024-06-04,352,16749
2f877454,P002,S101,2024-06-05,25,45804
1f2521df,P002,S104,2024-06-06,222,32541
4fd8f6b3,P002,S103,2024-06-07,356,38849
1b6e96e6,P003,S101,2024-06-08,127,10778
ef9fb6b4,P002,S102,2024-06-09,311,43323
782fbe4d,P003,S103,2024-06-10,242,10466
f8598886,P005,S102,2024-06-11,439,41308
93dfee14,P004,S103,2024-06-12,57,40740
95992188,P001,S101,2024-06-13,269,28852
33eac04f,P005,S103,2024-06-14,160,27028
a9e811ed,P003,S101,2024-06-15,368,21426
1867f55e,P002,S103,2024-06-16,311,24970
bcfdc246,P005,S103,2024-06-17,477,3905
0cdf6bf8,P004,S101,2024-06-18,362,2881
b554dc61,P002,S103,2024-06-19,468,29504
811a513a,P003,S101,2024-06-20,358,25828
f67cc94b,P004,S103,2024-06-21,229,9765
727895be,P004,S101,2024-06-22,119,33385
e2bdd38b,P003,S102,2024-06-23,371,21161
5e4480da,P005,S101,2024-06-24,281,48027
8bd9650f,P005,S101,2024-06-25,386,12181
73409e5e,P005,S104,2024-06-26,483,13412
8ccee04d,P003,S104,2024-06-27,77,29588
6f97f0de,P004,S104,2024-06-28,218,15863
885022c9,P003,S104,2024-06-29,446,16947
6111435f,P005,S103,2024-06-30,495,48008
5f858232,P004,S101,2024-07-01,359,39851
14287e59,P003,S104,2024-07-02,290,37199
60a4678b,P004,S103,2024-07-03,296,20855
a0646b8b,P003,S103,2024-07-04,72,43370
c30cf75c,P003,S103,2024-07-05,474,44374
c9a4ab86,P002,S102,2024-07-06,451,3947
39bb2946,P003,S101,2024-07-07,30,10443
c99e3145,P005,S101,2024-07-08,71,3698
2c489470,P004,S101,2024-07-09,29,9332
e6bc69e4,P001,S101,2024-07-10,95,28232
84df28b2,P001,S101,2024-07-11,250,48190
86bf3011,P001,S103,2024-07-12,282,9107
87150ad6,P003,S103,2024-07-13,177,15592
d4ec78e1,P002,S102,2024-07-14,316,23937
8ffabc6e,P002,S103,2024-07-15,327,23895
0b8aee2b,P002,S102,2024-07-16,362,36884
8a57e42d,P003,S102,2024-07-17,193,9078
2b373469,P002,S104,2024-07-18,115,45411
92d9d04f,P002,S103,2024-07-19,257,49101
6f701a37,P002,S101,2024-07-20,110,37363
6e4e82c0,P003,S103,2024-07-21,410,28795
9f35db05,P004,S102,2024-07-22,462,18005
db7d40f7,P001,S104,2024-07-23,62,35628
bdf61699,P002,S104,2024-07-24,63,7821
86a6269b,P001,S103,2024-07-25,362,32364
32309a30,P003,S102,2024-07-26,116,19568
6859f731,P003,S101,2024-07-27,389,5082
b8be5569,P005,S104,2024-07-28,259,29182
46fabf3d,P002,S101,2024-07-29,330,35028
b47681a6,P002,S104,2024-07-30,226,19468
13ab60cd,P002,S103,2024-07-31,417,30468
fdffa515,P005,S101,2024-08-01,341,32892
5e00a0ad,P003,S102,2024-08-02,46,3011
a053a997,P005,S104,2024-08-03,474,25626
8167e807,P003,S102,2024-08-04,63,13197
2c6da848,P001,S103,2024-08-05,321,7422
28426ab9,P005,S102,2024-08-06,190,27085
c6dba7b1,P003,S103,2024-08-07,256,45622
f8dfdcd5,P002,S104,2024-08-08,396,29312
9c146b7c,P002,S103,2024-08-09,379,30543
765d7ce7,P002,S101,2024-08-10,135,21193
354f05c3,P004,S102,2024-08-11,70,48538
07236146,P005,S102,2024-08-12,395,6858
97dcdcbf,P005,S104,2024-08-13,205,33855
568b19f7,P004,S102,2024-08-14,169,23431
6bd22bbd,P001,S104,2024-08-15,49,7581
028c1a91,P001,S104,2024-08-16,323,7038
efa6d2eb,P005,S102,2024-08-17,249,32888
cc4f2b59,P001,S101,2024-08-18,88,18010
6631a071,P002,S102,2024-08-19,429,34574
e0647ff6,P005,S101,2024-08-20,322,17345
06bd8d61,P001,S102,2024-08-21,377,41150
39754936,P002,S101,2024-08-22,330,31874
a4b8270f,P005,S102,2024-08-23,160,2274
7229282d,P002,S102,2024-08-24,135,9410
7f22d8db,P004,S101,2024-08-25,349,47789
a4a45719,P003,S103,2024-08-26,322,18751
38ffb0ae,P004,S101,2024-08-27,363,26821
c76d1eab,P004,S102,2024-08-28,449,43197
525d96fc,P005,S103,2024-08-29,167,37322
cacd5105,P003,S101,2024-08-30,467,7463
a8759c21,P001,S102,2024-08-31,191,48420
832c39ee,P002,S102,2024-09-01,235,18960
932cadeb,P001,S102,2024-09-02,443,30520
d039e5e0,P005,S102,2024-09-03,78,13734
30434350,P002,S102,2024-09-04,328,4295
3c521008,P003,S104,2024-09-05,206,12649
ec64e1e2,P002,S104,2024-09-06,124,25812
90820347,P001,S102,2024-09-07,25,14564
20710462,P004,S101,2024-09-08,160,34096
8f623ac2,P005,S103,2024-09-09,234,45252
62dc0643,P005,S102,2024-09-10,366,17234
f97fa0a3,P004,S102,2024-09-11,91,42879
52c7b633,P001,S102,2024-09-12,195,16694
4e434d3c,P004,S104,2024-09-13,234,46949
7bc97198,P005,S102,2024-09-14,372,11140
70f047c1,P003,S101,2024-09-15,126,45647
880f5700,P003,S101,2024-09-16,95,28204
d3999dc5,P005,S102,2024-09-17,291,34526
80f4593c,P005,S102,2024-09-18,360,21009
ac43fb62,P005,S101,2024-09-19,229,29561
1f86cc14,P004,S102,2024-09-20,247,48132
a59593b0,P002,S101,2024-09-21,433,35764
ff6a6d7b,P002,S104,2024-09-22,276,35464
34deabfa,P001,S104,2024-09-23,221,46833
b30e8207,P004,S101,2024-09-24,486,23271
2f0aba48,P005,S101,2024-09-25,494,6438
87158399,P002,S101,2024-09-26,24,9453
a8d81129,P001,S103,2024-09-27,39,38356
d8b03229,P001,S102,2024-09-28,462,30767
aa79412b,P004,S102,2024-09-29,135,18101
03ebf872,P002,S101,2024-09-30,392,36962
d33d1048,P003,S104,2024-10-01,405,39330
f4c84f5e,P004,S103,2024-10-02,450,17252
3238a5b8,P003,S102,2024-10-03,237,12291
c9efb36f,P002,S101,2024-10-04,415,34032
16aef27b,P001,S102,2024-10-05,77,12881
289413d7,P004,S104,2024-10-06,407,5572
1f35a2b5,P001,S104,2024-10-07,334,4170
89715ac3,P001,S102,2024-10-08,228,26531
2d80de79,P003,S104,2024-10-09,74,22135
d05b2f0e,P002,S102,2024-10-10,178,2515
fc2c63c2,P004,S104,2024-10-11,442,5045
ec3cc19f,P001,S102,2024-10-12,224,43212
44a4c7c4,P002,S102,2024-10-13,323,46735
7de5940f,P004,S101,2024-10-14,381,18587
c52f7f85,P001,S102,2024-10-15,333,3150
ae2aff73,P002,S104,2024-10-16,24,5285
e2903f77,P002,S103,2024-10-17,364,7477
0608f8ff,P003,S102,2024-10-18,336,26737
4fc0be6d,P004,S104,2024-10-19,348,46728
dd22afb4,P001,S102,2024-10-20,491,19284
374eac48,P003,S103,2024-10-21,148,14799
6013218b,P005,S104,2024-10-22,111,2394
e9cf419e,P002,S103,2024-10-23,168,24941
40b03c3f,P005,S101,2024-10-24,462,22372
4f2f3824,P003,S101,2024-10-25,247,18278
1287cf40,P004,S104,2024-10-26,130,24812
e96c90ab,P003,S101,2024-10-27,231,3033
a6dff0d6,P005,S103,2024-10-28,80,6776
baaddc41,P003,S102,2024-10-29,143,24103
f2dd7d8a,P005,S103,2024-10-30,265,16120
baf458c6,P002,S101,2024-10-31,95,37729
059fe08d,P002,S103,2024-11-01,58,18372
56fbec9c,P001,S102,2024-11-02,429,9936
a6a4d172,P001,S103,2024-11-03,101,27159
d825d4a2,P002,S104,2024-11-04,474,14002
4d410555,P004,S101,2024-11-05,396,44172
67056599,P003,S103,2024-11-06,57,5580
ea7ec682,P005,S103,2024-11-07,25,31747
c4167579,P005,S102,2024-11-08,257,44668
23b5b1ea,P003,S101,2024-11-09,310,36061
3c8451f7,P002,S104,2024-11-10,159,14385
040d50ce,P005,S104,2024-11-11,225,28133
68158b09,P004,S103,2024-11-12,250,35663
2d869c7b,P001,S103,2024-11-13,390,15532
2d3e6977,P005,S103,2024-11-14,376,26235
b052aa18,P005,S101,2024-11-15,493,40597
adc15f8d,P002,S103,2024-11-16,180,33519
d5ea8a5e,P004,S104,2024-11-17,442,48816
7b3bca85,P002,S103,2024-11-18,273,6853
ed491aa4,P004,S104,2024-11-19,339,44020
88df5dd1,P004,S103,2024-11-20,160,15045
f10a403a,P003,S102,2024-11-21,260,49526
8513509c,P002,S104,2024-11-22,240,2994
b840adb9,P001,S101,2024-11-23,53,2148
bacfb4b2,P004,S102,2024-11-24,390,16398
73c7c32b,P004,S103,2024-11-25,242,39797
630c2b02,P003,S103,2024-11-26,133,17832
584bf5fc,P005,S102,2024-11-27,36,17845
f8fa1268,P005,S104,2024-11-28,400,3907
09230279,P004,S104,2024-11-29,201,49390
b06bf110,P002,S103,2024-11-30,358,32643
ae4ec80d,P004,S102,2024-12-01,271,6508
38bd9297,P005,S102,2024-12-02,178,26731
76c6b463,P002,S101,2024-12-03,173,26725
606a67d1,P003,S101,2024-12-04,90,12862
6f77f7b0,P004,S103,2024-12-05,420,39449
81d2aa29,P004,S103,2024-12-06,115,26592
7ff6d4a7,P004,S103,2024-12-07,258,39368
a9c9c38d,P002,S101,2024-12-08,358,45197
3268599f,P005,S102,2024-12-09,101,22874
b08376fd,P002,S103,2024-12-10,168,32782
b41e0cc8,P001,S102,2024-12-11,457,33703
dbba21de,P001,S104,2024-12-12,346,31578
5677a6e8,P002,S102,2024-12-13,33,31926
ac83bd3f,P002,S101,2024-12-14,447,4547
d5ea11d1,P005,S104,2024-12-15,250,15020
18e7b2db,P002,S104,2024-12-16,445,47484
2e35e186,P005,S103,2024-12-17,296,15216
bba8d133,P005,S103,2024-12-18,408,35741
52cffd2b,P003,S102,2024-12-19,277,3444
b845362c,P001,S103,2024-12-20,80,9527
15b79b70,P004,S104,2024-12-21,237,10467
c32c3e13,P004,S104,2024-12-22,459,23656
e7e677d4,P001,S104,2024-12-23,281,7725
e5fdbfe3,P003,S101,2024-12-24,343,21718
b18d991e,P001,S101,2024-12-25,269,16790
15773d49,P002,S104,2024-12-26,364,20923
0375495b,P003,S101,2024-12-27,392,41795
3a043548,P002,S102,2024-12-28,200,40935
e6832e94,P003,S102,2024-12-29,104,26027
1deb3095,P004,S103,2024-12-30,351,15000
2c094689,P004,S101,2024-12-31,464,33032
075443d5,P005,S104,2025-01-01,307,39408
056d6c63,P003,S104,2025-01-02,48,28645
0bdab9f1,P004,S101,2025-01-03,138,45907
234657bb,P003,S101,2025-01-04,447,10148
9830a5cc,P005,S101,2025-01-05,271,16759
64b2f6b7,P001,S103,2025-01-06,279,3513
24675f33,P005,S102,2025-01-07,158,16797
ebf8c547,P005,S102,2025-01-08,471,15719
00b81922,P004,S104,2025-01-09,361,30899
e60f5d57,P004,S101,2025-01-10,135,1646
90b73267,P003,S104,2025-01-11,491,7244
e2e525b4,P001,S102,2025-01-12,134,12855
57f567f1,P005,S103,2025-01-13,300,1505
2597b845,P005,S101,2025-01-14,163,5506
a5642208,P004,S103,2025-01-15,187,32123
6c34afd5,P004,S101,2025-01-16,43,3016
0bffe223,P003,S104,2025-01-17,488,43076
c3f34191,P005,S102,2025-01-18,431,30866
cbef39e7,P003,S104,2025-01-19,348,36768
d0873fd1,P004,S101,2025-01-20,390,30122
39801869,P001,S103,2025-01-21,415,42913
2282bfee,P004,S103,2025-01-22,97,33514
44acd1eb,P004,S102,2025-01-23,167,38000
6850daed,P001,S103,2025-01-24,328,46763
91f2c315,P005,S104,2025-01-25,443,32083
40912315,P004,S102,2025-01-26,373,10952
ba1cdca6,P003,S104,2025-01-27,320,23462
5f4a7df9,P005,S103,2025-01-28,139,34605
2f787415,P002,S103,2025-01-29,207,3504
b3e0ece9,P003,S102,2025-01-30,359,42569
667e09c3,P001,S101,2025-01-31,453,44359
854f2de9,P001,S103,2025-02-01,415,14640
024711cf,P005,S101,2025-02-02,467,19703
667390f3,P004,S104,2025-02-03,136,19630
6c661c7d,P001,S104,2025-02-04,390,33908
4b0c0fed,P002,S102,2025-02-05,415,36021
360e9691,P005,S101,2025-02-06,463,39685
e67c67f5,P001,S102,2025-02-07,400,9930
7239b3df,P004,S104,2025-02-08,465,38539
d284ed78,P001,S103,2025-02-09,121,29621
052bd3f7,P004,S104,2025-02-10,256,7996
170ebc1c,P004,S101,2025-02-11,120,20778
b9bf6295,P003,S103,2025-02-12,154,20851
eb246431,P002,S101,2025-02-13,338,49674
938e40e6,P004,S104,2025-02-14,37,38001
57b3213f,P003,S104,2025-02-15,406,32574
27b02053,P002,S104,2025-02-16,360,39430
129ccb18,P005,S102,2025-02-17,230,46658
2d9f88a5,P002,S101,2025-02-18,439,7862
6f938393,P004,S103,2025-02-19,380,32132
bef4a3af,P003,S102,2025-02-20,187,48227
948cf618,P005,S104,2025-02-21,138,29686
02566fa5,P003,S102,2025-02-22,297,9738
641edbdd,P002,S101,2025-02-23,251,29703
d074a92c,P005,S102,2025-02-24,457,2082
2469a9e0,P002,S103,2025-02-25,171,6725
215be0c6,P003,S103,2025-02-26,263,18432
a5420699,P004,S102,2025-02-27,335,13871
1cf21882,P003,S101,2025-02-28,178,22809
ba1f1d0d,P003,S101,2025-03-01,317,17581
8873c372,P002,S104,2025-03-02,373,46840
4fc4e641,P004,S104,2025-03-03,214,7013
f25b2c7f,P003,S104,2025-03-04,476,46088
e57ed678,P002,S102,2025-03-05,331,10847
d75be811,P004,S103,2025-03-06,398,31846
8c316f6c,P001,S102,2025-03-07,92,23180
960ee64c,P001,S103,2025-03-08,432,26043
ee8b5b2f,P005,S103,2025-03-09,290,29606
9bf55904,P002,S104,2025-03-10,462,37645
fe52a2b2,P001,S104,2025-03-11,474,46472
1e3fa743,P002,S104,2025-03-12,473,1378
58c52dc5,P003,S101,2025-03-13,369,13707
b721c81d,P004,S101,2025-03-14,68,40599
4f9e53aa,P004,S103,2025-03-15,280,13227
380fde5a,P001,S102,2025-03-16,170,34379
d5c169b5,P004,S101,2025-03-17,193,4620
a7f8111b,P005,S102,2025-03-18,55,15694
acb0f13b,P005,S104,2025-03-19,366,24704
bd7130fc,P002,S102,2025-03-20,24,33376
c69926cc,P002,S104,2025-03-21,490,3875
4a51590e,P003,S101,2025-03-22,172,17090
83d66030,P001,S101,2025-03-23,36,30941
4778425d,P004,S104,2025-03-24,343,18196
99db218a,P003,S101,2025-03-25,319,24763
7dacf90c,P003,S104,2025-03-26,427,10833
92a19fa2,P002,S103,2025-03-27,148,15136
520bf460,P001,S102,2025-03-28,267,48839
db9392cd,P004,S102,2025-03-29,220,49381
2fc3eb27,P005,S103,2025-03-30,425,18928
a06a5572,P004,S101,2025-03-31,123,49307
c1adfd92,P003,S104,2025-04-01,95,23655
bd32f1c4,P005,S101,2025-04-02,34,38566
9afa2266,P003,S104,2025-04-03,190,34529
f6d1fa51,P004,S102,2025-04-04,125,26869
de0c9eca,P001,S102,2025-04-05,303,2953
f708067d,P002,S102,2025-04-06,41,8490
b62b6e3c,P005,S102,2025-04-07,316,34587
435e9b11,P002,S104,2025-04-08,245,5071
9fa16a29,P004,S102,2025-04-09,60,45179
84d4a27f,P001,S101,2025-04-10,441,8749
d4880295,P004,S104,2025-04-11,484,47081
6009a10d,P003,S103,2025-04-12,402,12863
b7144627,P001,S104,2025-04-13,222,1228
805b126a,P003,S103,2025-04-14,64,23394
68133035,P001,S102,2025-04-15,81,40929
72e96ad4,P002,S104,2025-04-16,32,8918
d82e950a,P004,S102,2025-04-17,100,14900
d37c60da,P003,S102,2025-04-18,392,26698
3dfe1545,P002,S103,2025-04-19,230,46715
2f9a2cd9,P004,S104,2025-04-20,137,36642
5c9fc7d0,P003,S103,2025-04-21,231,34953
531629c1,P003,S104,2025-04-22,146,19596
546e93fb,P001,S101,2025-04-23,450,3554
22dd0927,P004,S102,2025-04-24,306,7399
df4a011f,P003,S104,2025-04-25,389,42253
3e8b2b58,P001,S102,2025-04-26,113,42199
2eb6dac7,P003,S102,2025-04-27,450,47498
590b47c4,P001,S102,2025-04-28,35,27312
e42f91e8,P002,S101,2025-04-29,58,34471
f8ad63d0,P002,S102,2025-04-30,473,49933
88f1c76d,P004,S101,2025-05-01,339,6166
e55437c2,P005,S102,2025-05-02,196,44812
4e16c010,P004,S102,2025-05-03,216,34762
6b8616a3,P001,S101,2025-05-04,91,47347
c669dbee,P004,S102,2025-05-05,311,8171
9f380463,P002,S104,2025-05-06,487,30014
8e5ae281,P005,S103,2025-05-07,195,47314
41797fa0,P005,S104,2025-05-08,313,46258
23bf6257,P002,S101,2025-05-09,51,9617
1162fc6a,P004,S104,2025-05-10,280,23485
2f466d33,P003,S103,2025-05-11,486,31353
1e1f03dd,P002,S101,2025-05-12,149,40630
f6ffc366,P001,S104,2025-05-13,190,34873
f5a60401,P003,S101,2025-05-14,47,44998
a1ccf677,P004,S101,2025-05-15,314,13979
aed217ce,P001,S104,2025-05-16,455,19608
4e98c7b5,P001,S104,2025-05-17,26,43427
bc696f4e,P005,S103,2025-05-18,370,39619
d1d07dc3,P003,S102,2025-05-19,331,28466
beafe1e9,P005,S103,2025-05-20,53,30045
37d9edfd,P005,S102,2025-05-21,25,8141
725c1725,P002,S102,2025-05-22,198,3758
c7e12aac,P004,S101,2025-05-23,436,25712
46b01fad,P003,S103,2025-05-24,476,42991
a0854ca4,P005,S102,2025-05-25,322,23294
744c4e15,P004,S103,2025-05-26,481,7630
46049f77,P003,S102,2025-05-27,338,44153
650e1731,P005,S102,2025-05-28,98,2720
19937183,P002,S104,2025-05-29,81,49067
0d825286,P002,S101,2025-05-30,107,18571
1655c637,P002,S103,2025-05-31,494,40170
b0d443bc,P001,S103,2025-06-01,343,17225
b3e9797a,P004,S101,2025-06-02,425,12497
0b0dac6e,P002,S103,2025-06-03,320,48525
ed5b07ff,P002,S103,2025-06-04,172,15795
eeca6fd0,P002,S104,2025-06-05,328,27368
2be99e85,P004,S102,2025-06-06,260,5412
a23b0b63,P003,S101,2025-06-07,487,47867
0c11a16c,P004,S104,2025-06-08,94,44810
0400e213,P005,S103,2025-06-09,265,10439
124ece76,P003,S104,2025-06-10,328,11169
506001b1,P004,S103,2025-06-11,200,5137
1c39a1d4,P005,S104,2025-06-12,345,17406
1fd6bf9c,P001,S104,2025-06-13,412,14574
89317371,P004,S101,2025-06-14,321,7426
7248b803,P004,S102,2025-06-15,437,48056
30cd694c,P003,S101,2025-06-16,77,11072
ac154485,P004,S102,2025-06-17,143,25058
052f803f,P001,S102,2025-06-18,32,31128
377f6266,P001,S104,2025-06-19,27,13625
8fdd9b3e,P001,S101,2025-06-20,387,10221
5687dba3,P002,S103,2025-06-21,455,18698
d86da064,P005,S103,2025-06-22,271,46040
9cf1ee63,P004,S103,2025-06-23,499,10783
db74dc5e,P002,S103,2025-06-24,409,47346
cb54e7b0,P004,S102,2025-06-25,219,47931
cf7ce4ab,P005,S104,2025-06-26,336,43520
b29076a7,P004,S102,2025-06-27,297,6609
c0aa1f9a,P002,S101,2025-06-28,295,36691
1b299e3e,P004,S104,2025-06-29,325,43271
28fd2b0f,P003,S102,2025-06-30,419,7450
3fc77389,P003,S104,2025-07-01,164,34505
12907e8e,P004,S104,2025-07-02,448,18911
2fa558c9,P003,S104,2025-07-03,37,32728
f570f393,P002,S103,2025-07-04,361,6547
28647e90,P005,S104,2025-07-05,230,28474
74e2a0b9,P005,S101,2025-07-06,443,18886
cb4b4c09,P001,S103,2025-07-07,442,37821
aa6f4f79,P003,S102,2025-07-08,227,31741
5d4ceeb4,P001,S101,2025-07-09,344,47688
682470c9,P001,S103,2025-07-10,182,33418
0821f10c,P005,S104,2025-07-11,369,6306
e5361b0e,P002,S104,2025-07-12,89,4837
8f764e2f,P002,S103,2025-07-13,415,30867
6d54392b,P004,S104,2025-07-14,346,37457
eb2c7469,P005,S102,2025-07-15,66,42754
09f42335,P004,S101,2025-07-16,176,34815
62482113,P005,S102,2025-07-17,160,43270
0c50261a,P003,S101,2025-07-18,408,3192
083954ea,P003,S101,2025-07-19,313,35147
6160fe84,P004,S102,2025-07-20,400,11138
8f337974,P005,S101,2025-07-21,372,5385
5b60d86b,P002,S103,2025-07-22,193,20197
